year,rank,artist
2005,1,Sean Paul
2005,2,Chris Brown
2005,3,Nickelback
2005,4,Ne-Yo
2005,5,The Fray
2005,6,Rihanna
2005,7,The Pussycat Dolls
2005,8,The All-American Rejects
2005,9,Rascal Flatts
2005,10,Justin Timberlake
2005,11,Beyonce
2005,12,Mary J. Blige
2005,13,Daniel Powter
2005,14,James Blunt
2005,15,Kelly Clarkson
2005,16,Natasha Bedingfield
2005,17,Fall Out Boy
2005,18,T.I.
2005,19,Yung Joc
2005,20,Nelly Furtado
2005,21,Gnarls Barkley
2005,22,Chamillionaire
2005,23,Fergie
2005,24,Cassie
2005,25,The Black Eyed Peas
2005,26,Red Hot Chili Peppers
2005,27,Shakira
2005,28,Nelly
2005,29,Panic! At The Disco
2005,30,Mariah Carey
2005,31,Dem Franchize Boyz
2005,32,Eminem
2005,33,T-Pain
2005,34,Christina Aguilera
2005,35,Carrie Underwood
2005,36,Snow Patrol
2005,37,Ludacris
2005,38,Jamie Foxx
2005,39,Hinder
2005,40,KT Tunstall
2005,41,Cascada
2005,42,D4L
2005,43,Kenny Chesney
2005,44,Keyshia Cole
2005,45,Kanye West
2005,46,E-40
2005,47,Juelz Santana
2005,48,Nick Lachey
2005,49,Busta Rhymes
2005,50,Lil Jon
2005,51,Akon
2005,52,Bon Jovi
2005,53,Ciara
2005,54,Fort Minor
2005,55,Three 6 Mafia
2005,56,Bubba Sparxxx
2005,57,Tim McGraw
2005,58,Jibbs
2005,59,Dierks Bentley
2005,60,Ray J
2005,61,Josh Turner
2005,62,Keith Urban
2005,63,Lil Wayne
2005,64,Brad Paisley
2005,65,Ashlee Simpson
2005,66,Cherish
2005,67,JoJo
2005,68,Danity Kane
2005,69,Field Mob
2005,70,Timbaland
2005,71,Daddy Yankee
2005,72,Evanescence
2005,73,Weezer
2005,74,Madonna
2005,75,Blue October
2005,76,Toby Keith
2005,77,Lifehouse
2005,78,Wyclef Jean
2005,79,Young Jeezy
2005,80,Bow Wow
2005,81,Young Dro
2005,82,John Mayer
2005,83,Paul Wall
2005,84,Kelis
2005,85,Chingy
2005,86,Gwen Stefani
2005,87,Krayzie Bone
2005,88,George Strait
2005,89,Slim Thug
2005,90,Trace Adkins
2005,91,Gorillaz
2005,92,Taylor Hicks
2005,93,Snoop Dogg
2005,94,Little Big Town
2005,95,P!nk
2005,96,Goo Goo Dolls
2005,97,Faith Hill
2005,98,Teddy Geiger
2005,99,Sean Paul
2005,100,The Wreckers
2006,1,Sean Paul
2006,2,Chris Brown
2006,3,Nickelback
2006,4,Ne-Yo
2006,5,The Fray
2006,6,Rihanna
2006,7,The Pussycat Dolls
2006,8,The All-American Rejects
2006,9,Rascal Flatts
2006,10,Justin Timberlake
2006,11,Beyonce
2006,12,Mary J. Blige
2006,13,Daniel Powter
2006,14,James Blunt
2006,15,Kelly Clarkson
2006,16,Natasha Bedingfield
2006,17,Fall Out Boy
2006,18,T.I.
2006,19,Yung Joc
2006,20,Nelly Furtado
2006,21,Gnarls Barkley
2006,22,Chamillionaire
2006,23,Fergie
2006,24,Cassie
2006,25,The Black Eyed Peas
2006,26,Red Hot Chili Peppers
2006,27,Shakira
2006,28,Nelly
2006,29,Panic! At The Disco
2006,30,Mariah Carey
2006,31,Dem Franchize Boyz
2006,32,Eminem
2006,33,T-Pain
2006,34,Christina Aguilera
2006,35,Carrie Underwood
2006,36,Snow Patrol
2006,37,Ludacris
2006,38,Jamie Foxx
2006,39,Hinder
2006,40,KT Tunstall
2006,41,Cascada
2006,42,D4L
2006,43,Kenny Chesney
2006,44,Keyshia Cole
2006,45,Kanye West
2006,46,E-40
2006,47,Juelz Santana
2006,48,Nick Lachey
2006,49,Busta Rhymes
2006,50,Lil Jon
2006,51,Akon
2006,52,Bon Jovi
2006,53,Ciara
2006,54,Fort Minor
2006,55,Three 6 Mafia
2006,56,Bubba Sparxxx
2006,57,Tim McGraw
2006,58,Jibbs
2006,59,Dierks Bentley
2006,60,Ray J
2006,61,Josh Turner
2006,62,Keith Urban
2006,63,Lil Wayne
2006,64,Brad Paisley
2006,65,Ashlee Simpson
2006,66,Cherish
2006,67,JoJo
2006,68,Danity Kane
2006,69,Field Mob
2006,70,Timbaland
2006,71,Daddy Yankee
2006,72,Evanescence
2006,73,Weezer
2006,74,Madonna
2006,75,Blue October
2006,76,Toby Keith
2006,77,Lifehouse
2006,78,Wyclef Jean
2006,79,Young Jeezy
2006,80,Bow Wow
2006,81,Young Dro
2006,82,John Mayer
2006,83,Paul Wall
2006,84,Kelis
2006,85,Chingy
2006,86,Gwen Stefani
2006,87,Krayzie Bone
2006,88,George Strait
2006,89,Slim Thug
2006,90,Trace Adkins
2006,91,Gorillaz
2006,92,Taylor Hicks
2006,93,Snoop Dogg
2006,94,Little Big Town
2006,95,P!nk
2006,96,Goo Goo Dolls
2006,97,Faith Hill
2006,98,Teddy Geiger
2006,99,Sean Paul
2006,100,The Wreckers
2007,1,Akon
2007,2,Fergie
2007,3,Justin Timberlake
2007,4,Beyonce
2007,5,T-Pain
2007,6,Daughtry
2007,7,Carrie Underwood
2007,8,Avril Lavigne
2007,9,Timbaland
2007,10,Rihanna
2007,11,Gwen Stefani
2007,12,Nelly Furtado
2007,13,Nickelback
2007,14,Fall Out Boy
2007,15,Maroon 5
2007,16,Plain White T's
2007,17,Mims
2007,18,P!nk
2007,19,T.I.
2007,20,Kanye West
2007,21,Unk
2007,22,Ludacris
2007,23,Shop Boyz
2007,24,The Fray
2007,25,Ciara
2007,26,Ne-Yo
2007,27,Sean Kingston
2007,28,Soulja Boy Tell'em
2007,29,Lloyd
2007,30,Hinder
2007,31,Bow Wow
2007,32,Jim Jones
2007,33,Chris Brown
2007,34,Linkin Park
2007,35,Rascal Flatts
2007,36,JAY-Z
2007,37,My Chemical Romance
2007,38,Gym Class Heroes
2007,39,Brad Paisley
2007,40,Diddy
2007,41,Kenny Chesney
2007,42,Huey
2007,43,Tim McGraw
2007,44,Elliott Yamin
2007,45,Taylor Swift
2007,46,Christina Aguilera
2007,47,Snoop Dogg
2007,48,John Mayer
2007,49,Omarion
2007,50,Kelly Clarkson
2007,51,Keyshia Cole
2007,52,Robin Thicke
2007,53,R. Kelly
2007,54,Hurricane Chris
2007,55,The Red Jumpsuit Apparatus
2007,56,Fabolous
2007,57,Young Jeezy
2007,58,The All-American Rejects
2007,59,50 Cent
2007,60,Snow Patrol
2007,61,Yung Joc
2007,62,Lil Wayne
2007,63,Keith Urban
2007,64,Amy Winehouse
2007,65,Rodney Atkins
2007,66,Sugarland
2007,67,Musiq Soulchild
2007,68,Colbie Caillat
2007,69,J. Holiday
2007,70,Fat Joe
2007,71,Alicia Keys
2007,72,Plies
2007,73,Boys Like Girls
2007,74,George Strait
2007,75,Lil' Boosie
2007,76,Red Hot Chili Peppers
2007,77,Hellogoodbye
2007,78,Lifehouse
2007,79,Pretty Ricky
2007,80,Baby Boy Da Prince
2007,81,Bone Thugs-N-Harmony
2007,82,Three Days Grace
2007,83,Paula DeAnda
2007,84,Eminem
2007,85,Jonas Brothers
2007,86,Finger Eleven
2007,87,Toby Keith
2007,88,Rich Boy
2007,89,Mary J. Blige
2007,90,Fantasia
2007,91,Hannah Montana
2007,92,Keri Hilson
2007,93,Big & Rich
2007,94,Jason Aldean
2007,95,DJ Khaled
2007,96,Augustana
2007,97,Britney Spears
2007,98,Eve
2007,99,Patrick Stump
2007,100,Kilo
2008,1,Chris Brown
2008,2,Rihanna
2008,3,Lil Wayne
2008,4,Taylor Swift
2008,5,Alicia Keys
2008,6,Leona Lewis
2008,7,T-Pain
2008,8,Flo Rida
2008,9,Jordin Sparks
2008,10,Kanye West
2008,11,Katy Perry
2008,12,Ne-Yo
2008,13,T.I.
2008,14,Colbie Caillat
2008,15,Timbaland
2008,16,Sara Bareilles
2008,17,Natasha Bedingfield
2008,18,Coldplay
2008,19,Fergie
2008,20,Miley Cyrus
2008,21,Mariah Carey
2008,22,Usher
2008,23,OneRepublic
2008,24,Britney Spears
2008,25,Jonas Brothers
2008,26,P!nk
2008,27,Carrie Underwood
2008,28,Akon
2008,29,Sean Kingston
2008,30,The-Dream
2008,31,Keyshia Cole
2008,32,Plies
2008,33,Finger Eleven
2008,34,Jesse McCartney
2008,35,Brad Paisley
2008,36,Jason Mraz
2008,37,Soulja Boy Tell'em
2008,38,Daughtry
2008,39,Young Jeezy
2008,40,Metro Station
2008,41,David Cook
2008,42,Yung Berg
2008,43,J. Holiday
2008,44,M.I.A.
2008,45,Sugarland
2008,46,Danity Kane
2008,47,George Strait
2008,48,Paramore
2008,49,Madonna
2008,50,Buckcherry
2008,51,Kenny Chesney
2008,52,John Mayer
2008,53,The Pussycat Dolls
2008,54,Snoop Dogg
2008,55,Maroon 5
2008,56,Ray J
2008,57,Linkin Park
2008,58,3 Doors Down
2008,59,Kardinal Offishall
2008,60,Alan Jackson
2008,61,Rascal Flatts
2008,62,Secondhand Serenade
2008,63,Static Major
2008,64,Trey Songz
2008,65,Colby O'Donis
2008,66,Mary J. Blige
2008,67,David Archuleta
2008,68,Montgomery Gentry
2008,69,Estelle
2008,70,Beyonce
2008,71,Nickelback
2008,72,Webbie
2008,73,Rick Ross
2008,74,Baby Bash
2008,75,Toby Keith
2008,76,Keith Urban
2008,77,Kid Rock
2008,78,Gavin DeGraw
2008,79,Jazmine Sullivan
2008,80,Wyclef Jean
2008,81,Justin Timberlake
2008,82,Trace Adkins
2008,83,Gavin Rossdale
2008,84,Lupe Fiasco
2008,85,Kevin Rudolf
2008,86,David Banner
2008,87,Saving Abel
2008,88,Lifehouse
2008,89,Boys Like Girls
2008,90,Yael Naim
2008,91,Three 6 Mafia
2008,92,Pitbull
2008,93,Jennifer Hudson
2008,94,The Game
2008,95,DJ Khaled
2008,96,Mario
2008,97,James Otto
2008,98,Duffy
2008,99,matchbox twenty
2008,100,Blake Shelton
2009,1,Lady Gaga
2009,2,The Black Eyed Peas
2009,3,Beyonce
2009,4,Taylor Swift
2009,5,Kanye West
2009,6,T.I.
2009,7,Britney Spears
2009,8,Miley Cyrus
2009,9,Flo Rida
2009,10,Katy Perry
2009,11,P!nk
2009,12,Pitbull
2009,13,Ne-Yo
2009,14,Kelly Clarkson
2009,15,The Fray
2009,16,Jason Mraz
2009,17,Drake
2009,18,Lil Wayne
2009,19,Rihanna
2009,20,Kings Of Leon
2009,21,The All-American Rejects
2009,22,Keri Hilson
2009,23,Soulja Boy Tell'em
2009,24,Akon
2009,25,T-Pain
2009,26,Kid Cudi
2009,27,Shinedown
2009,28,Nickelback
2009,29,Zac Brown Band
2009,30,Jamie Foxx
2009,31,3OH!3
2009,32,Jeremih
2009,33,Sean Kingston
2009,34,Keith Urban
2009,35,Jay Sean
2009,36,Mariah Carey
2009,37,Jason Derulo
2009,38,Lady A
2009,39,Jason Aldean
2009,40,JAY-Z
2009,41,The Pussycat Dolls
2009,42,Rascal Flatts
2009,43,Kevin Rudolf
2009,44,Green Day
2009,45,Brad Paisley
2009,46,Darius Rucker
2009,47,Toby Keith
2009,48,Colby O'Donis
2009,49,Eminem
2009,50,Carrie Underwood
2009,51,Kenny Chesney
2009,52,The-Dream
2009,53,Dierks Bentley
2009,54,Coldplay
2009,55,Colbie Caillat
2009,56,Daughtry
2009,57,Jordin Sparks
2009,58,Billy Currington
2009,59,Owl City
2009,60,Linkin Park
2009,61,Justin Bieber
2009,62,Shakira
2009,63,Cobra Starship
2009,64,Justin Timberlake
2009,65,Young Money
2009,66,David Cook
2009,67,The Veronicas
2009,68,Boys Like Girls
2009,69,Sugarland
2009,70,Asher Roth
2009,71,Maxwell
2009,72,Leona Lewis
2009,73,George Strait
2009,74,Rob Thomas
2009,75,Ludacris
2009,76,Iyaz
2009,77,Demi Lovato
2009,78,New Boyz
2009,79,Alicia Keys
2009,80,Kristinia DeBarge
2009,81,Blake Shelton
2009,82,Mario
2009,83,Sammie
2009,84,Montgomery Gentry
2009,85,The Ting Tings
2009,86,Pleasure P
2009,87,Plain White T's
2009,88,Fabolous
2009,89,Jesse McCartney
2009,90,Trey Songz
2009,91,Theory Of A Deadman
2009,92,Alan Jackson
2009,93,LMFAO
2009,94,50 Cent
2009,95,Dorrough
2009,96,Kellie Pickler
2009,97,David Guetta
2009,98,Tim McGraw
2009,99,Ciara
2009,100,Saving Abel
2010,1,Ke$ha
2010,2,Lady Gaga
2010,3,Usher
2010,4,Rihanna
2010,5,The Black Eyed Peas
2010,6,Jason Derulo
2010,7,Katy Perry
2010,8,Eminem
2010,9,Drake
2010,10,Taio Cruz
2010,11,B.o.B
2010,12,Taylor Swift
2010,13,Lady A
2010,14,Train
2010,15,Ludacris
2010,16,Bruno Mars
2010,17,Trey Songz
2010,18,JAY-Z
2010,19,Iyaz
2010,20,Justin Bieber
2010,21,Mike Posner
2010,22,Nicki Minaj
2010,23,Glee Cast
2010,24,Lil Wayne
2010,25,Jay Sean
2010,26,Young Money
2010,27,David Guetta
2010,28,Alicia Keys
2010,29,The Script
2010,30,Timbaland
2010,31,Adam Lambert
2010,32,OneRepublic
2010,33,Miley Cyrus
2010,34,Pitbull
2010,35,Snoop Dogg
2010,36,Carrie Underwood
2010,37,Owl City
2010,38,Enrique Iglesias
2010,39,Nelly
2010,40,Travie McCoy
2010,41,Michael Buble
2010,42,Beyonce
2010,43,La Roux
2010,44,Zac Brown Band
2010,45,Chris Brown
2010,46,Selena Gomez
2010,47,Miranda Lambert
2010,48,Kris Allen
2010,49,Jason Aldean
2010,50,John Mayer
2010,51,will.i.am
2010,52,3OH!3
2010,53,Far*East Movement
2010,54,Orianthi
2010,55,T.I.
2010,56,P!nk
2010,57,Daughtry
2010,58,Maroon 5
2010,59,Hayley Williams
2010,60,Neon Trees
2010,61,Flo Rida
2010,62,Brad Paisley
2010,63,Kenny Chesney
2010,64,Britney Spears
2010,65,Kelly Clarkson
2010,66,Shontelle
2010,67,Billy Currington
2010,68,Colbie Caillat
2010,69,Nickelback
2010,70,Kanye West
2010,71,Luke Bryan
2010,72,Josh Turner
2010,73,Darius Rucker
2010,74,Kings Of Leon
2010,75,New Boyz
2010,76,Easton Corbin
2010,77,Keith Urban
2010,78,Akon
2010,79,Sugarland
2010,80,Gucci Mane
2010,81,Lloyd
2010,82,Monica
2010,83,Blake Shelton
2010,84,Shakira
2010,85,Sean Kingston
2010,86,Young Jeezy
2010,87,The Band Perry
2010,88,Paramore
2010,89,Rascal Flatts
2010,90,Sara Bareilles
2010,91,Reba McEntire
2010,92,Uncle Kracker
2010,93,Boys Like Girls
2010,94,Cali Swag District
2010,95,Jerrod Niemann
2010,96,Jaron And The Long Road To Love
2010,97,Cascada
2010,98,Justin Timberlake
2010,99,CeeLo Green
2010,100,Chris Young
2011,1,Katy Perry
2011,2,Bruno Mars
2011,3,Rihanna
2011,4,Adele
2011,5,Lil Wayne
2011,6,Lady Gaga
2011,7,Nicki Minaj
2011,8,Pitbull
2011,9,Chris Brown
2011,10,Britney Spears
2011,11,P!nk
2011,12,The Black Eyed Peas
2011,13,LMFAO
2011,14,Wiz Khalifa
2011,15,Ke$ha
2011,16,Drake
2011,17,CeeLo Green
2011,18,Kanye West
2011,19,Jason Aldean
2011,20,Taylor Swift
2011,21,Glee Cast
2011,22,OneRepublic
2011,23,The Band Perry
2011,24,Blake Shelton
2011,25,Usher
2011,26,Foster The People
2011,27,Enrique Iglesias
2011,28,Lady A
2011,29,Lupe Fiasco
2011,30,Maroon 5
2011,31,Jennifer Lopez
2011,32,Hot Chelle Rae
2011,33,Taio Cruz
2011,34,David Guetta
2011,35,Trey Songz
2011,36,Zac Brown Band
2011,37,The Script
2011,38,Far*East Movement
2011,39,Jeremih
2011,40,Kenny Chesney
2011,41,Beyonce
2011,42,Luke Bryan
2011,43,Jason Derulo
2011,44,Christina Perri
2011,45,Brad Paisley
2011,46,T-Pain
2011,47,Nelly
2011,48,Bad Meets Evil
2011,49,Avril Lavigne
2011,50,Dev
2011,51,Flo Rida
2011,52,Dr. Dre
2011,53,Keith Urban
2011,54,Gym Class Heroes
2011,55,Coldplay
2011,56,Diddy - Dirty Money
2011,57,Chris Young
2011,58,Mike Posner
2011,59,Waka Flocka Flame
2011,60,Keri Hilson
2011,61,Miguel
2011,62,Rascal Flatts
2011,63,Miranda Lambert
2011,64,DJ Khaled
2011,65,Big Sean
2011,66,Selena Gomez
2011,67,Eli Young Band
2011,68,Cobra Starship
2011,69,New Boyz
2011,70,Thompson Square
2011,71,Toby Keith
2011,72,Kelly Rowland
2011,73,Jake Owen
2011,74,Kelly Clarkson
2011,75,Billy Currington
2011,76,Train
2011,77,Tinie Tempah
2011,78,Eric Church
2011,79,Christina Aguilera
2011,80,Eminem
2011,81,Rodney Atkins
2011,82,Jerrod Niemann
2011,83,Rick Ross
2011,84,50 Cent
2011,85,Neon Trees
2011,86,Afrojack
2011,87,Carrie Underwood
2011,88,Skylar Grey
2011,89,Justin Bieber
2011,90,Alexandra Stan
2011,91,Mumford & Sons
2011,92,George Strait
2011,93,Sara Evans
2011,94,Edward Maya
2011,95,Vika Jigulina
2011,96,JAY-Z
2011,97,Jessie J
2011,98,Selena Gomez & The Scene
2011,99,Darius Rucker
2011,100,WILLOW
2012,1,Rihanna
2012,2,Flo Rida
2012,3,Nicki Minaj
2012,4,Adele
2012,5,Maroon 5
2012,6,Katy Perry
2012,7,fun.
2012,8,Carly Rae Jepsen
2012,9,Drake
2012,10,Taylor Swift
2012,11,Kelly Clarkson
2012,12,LMFAO
2012,13,One Direction
2012,14,Gotye
2012,15,David Guetta
2012,16,Justin Bieber
2012,17,The Wanted
2012,18,Chris Brown
2012,19,Ellie Goulding
2012,20,Usher
2012,21,Calvin Harris
2012,22,Bruno Mars
2012,23,Train
2012,24,Wiz Khalifa
2012,25,Pitbull
2012,26,Luke Bryan
2012,27,Lil Wayne
2012,28,Big Sean
2012,29,Tyga
2012,30,Neon Trees
2012,31,Jason Mraz
2012,32,Gym Class Heroes
2012,33,Alex Clare
2012,34,2 Chainz
2012,35,Kanye West
2012,36,Carrie Underwood
2012,37,P!nk
2012,38,Jason Aldean
2012,39,Trey Songz
2012,40,Eric Church
2012,41,Demi Lovato
2012,42,Kimbra
2012,43,J. Cole
2012,44,Sia
2012,45,B.o.B
