zipcode,city,county,state,metro
75001,Addison,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75002,Allen,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75013,Allen,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75409,Anna,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76226,Argyle,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Athens,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75752,Athens,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76227,Aubrey,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76623,Avalon,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75180,Balch Springs,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75181,Balch Springs,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75283,Bank of America,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75284,Bank of America,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75285,Bank of America,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75286,Bank of America,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75303,Bank One,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75373,Bank One,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75397,Bank One,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75101,Bardwell,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76226,Bartonville,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Baxter,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75283,Bk of America,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75424,Blue Ridge,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75756,Brownsboro,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75080,Buckingham,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75135,Caddo Mills,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75422,Campbell,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Cardinal Hall,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Cardinal Station,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75006,Carrollton,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75007,Carrollton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75010,Carrollton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75011,Carrollton,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75104,Cedar Hill,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75106,Cedar Hill,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75423,Celeste,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75009,Celina,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75758,Chandler,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75391,Chase Bank of Texas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75211,Cockrell Hill,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75159,Combine,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75428,Commerce,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75429,Commerce,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75121,Copeville,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75019,Coppell,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75099,Coppell,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75077,Copper Canyon,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76208,Corinth,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76210,Corinth,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76226,Corral City,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75114,Crandall,Kaufman County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Crescent Heights,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76227,Crossroads,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75201,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75202,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75203,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75204,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75205,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75206,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75207,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75208,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75209,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75210,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75211,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75212,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75214,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75215,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75216,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75217,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75218,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75219,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75220,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75221,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75222,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75223,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75224,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75225,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75226,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75227,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75228,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75229,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75230,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75231,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75232,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75233,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75234,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75235,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75236,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75237,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75238,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75240,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75241,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75242,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75243,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75244,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75245,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75246,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75247,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75248,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75249,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75250,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75251,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75252,Dallas,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75253,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75254,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75258,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75260,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75261,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75262,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75263,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75264,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75265,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75266,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75267,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75270,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75275,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75277,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75283,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75284,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75285,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75286,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75287,Dallas,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75301,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75303,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75310,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75312,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75313,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75315,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75320,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75323,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75326,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75334,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75336,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75339,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75340,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75342,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75343,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75344,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75354,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75355,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75356,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75357,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75358,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75359,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75360,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75367,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75368,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75370,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75371,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75372,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75373,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75374,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75376,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75378,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75379,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75380,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75381,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75382,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75387,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75389,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75390,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75391,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75392,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75393,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75394,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75395,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75397,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75398,Dallas,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75277,Dallas City Water Dept,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76201,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76202,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76203,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76204,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76205,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76206,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76207,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76208,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76209,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76210,Denton,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75115,Desoto,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75123,Desoto,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75261,DFW,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75261,DFW Airport,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75077,Double Oak,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75116,Duncanville,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75137,Duncanville,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75138,Duncanville,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75118,Elmo,Kaufman County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75156,Enchanted Oak,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75156,Enchanted Oaks,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75119,Ennis,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75120,Ennis,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75124,Eustace,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75069,Fairview,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75234,Farmers Branch,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75244,Farmers Branch,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75234,Farmers Brnch,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75244,Farmers Brnch,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75442,Farmersville,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75132,Fate,Rockwall County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75125,Ferris,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75022,Flower Mound,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75027,Flower Mound,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75028,Flower Mound,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
