city,address,type
Amityville,"8 Green Ave Amityville, NY 11701",Branch
Amityville Driveup,"4 John St Amityville, NY 11701",Drive-up
Sunrise Mall,"6 Carmans Rd Massapequa, NY 11758",Branch
Copiague Merrick Rd,"895 Merrick Rd Copiague, NY 11726",Branch
Bar Harbour,"4970 Merrick Rd Massapequa Park, NY 11762",Branch
Ardsley Ashford,"500 Ashford Ave Ardsley, NY 10502",Branch
Ardsley,"875 Saw Mill River Rd Ardsley, NY 10502",Branch
Dobbs Ferry,"12 Ashford Ave Dobbs Ferry, NY 10522",Branch
Scarsdale Central Park,"660-662 Central Park Ave Scarsdale, NY 10583",Branch
Hastings,"565 Warburton Ave Hastings on Hudson, NY 10706",Branch
Armonk Square,"400 Main St Ste 1 Armonk, NY 10504",Branch
Thornwood Rose Hill,"608 Columbus Ave Thornwood, NY 10594",Branch
Banksville,"1073 North St Greenwich, CT 06831",Branch
Chappaqua,"417 King St Chappaqua, NY 10514",Branch
Pleasantville Bedford,"444 Bedford Rd Pleasantville, NY 10570",Branch
Broadway and Chambers,"270 Broadway New York, NY 10007",Branch
City Hall,"253 Broadway New York, NY 10007",Branch
Tribeca,"65 Worth St New York, NY 10013",Branch
Barclay St,"240 B Greenwich St New York, NY 10007",Branch
WORLD TRADE CENTER - REMOTE ATMS,"185 Greenwich St New York, NY 10007",ATM
Oneida,"150 Main St Oneida, NY 13421",Branch
Manlius,"329 Fayette St Manlius, NY 13104",Branch
Minoa,"249 N Main St Minoa, NY 13116",Branch
Dewitt,"4425 E Genesee St Dewitt, NY 13214",Branch
Industrial Park,"6004 Court St Rd Syracuse, NY 13206",Branch
Babylon,"31 W Main St Babylon, NY 11702",Branch
West Babylon Montauk Hwy,"523 W Montauk Hwy West Babylon, NY 11704",Branch
West Islip,"251 Higbie Ln West Islip, NY 11795",Branch
West Babylon,"595 Sunrise Hwy West Babylon, NY 11704",Branch
Lindenhurst Wellwood,"166 S Wellwood Ave South Lindenhurst, NY 11757",Branch
Sunrise Hwy and Grand,"676 Sunrise Hwy Baldwin, NY 11510",Branch
Baldwin Atlantic,"915 Atlantic Ave Baldwin, NY 11510",Branch
Freeport and Main St,"25 S Main St Freeport, NY 11520",Branch
Baldwin North,"1235 Grand Ave Baldwin, NY 11510",Branch
South Freeport,"180 Atlantic Ave Freeport, NY 11520",Branch
Baldwin Place,"80 Rte 6 Baldwin Place, NY 10505",Branch
Jefferson Valley Mall,"720 Lee Blvd Yorktown Heights, NY 10598",Branch
Somerstown Center,"Rte 100 and 202- Somerstown Ctr Somers, NY 10589",Branch
Shrub Oak,"1336 E Main St Shrub Oak, NY 10588",Branch
Yorktown Heights,"1975 Commerce St Yorktown Heights, NY 10598",Branch
Brightwaters,"169 Orinoco Dr Brightwaters, NY 11718",Branch
Bay Shore Commons,"537 E Main St Bay Shore, NY 11706",Branch
West Bay Shore,"840 Sunrise Hwy Bay Shore, NY 11706",Branch
Islip,"556 Main St Islip, NY 11751",Branch
Brentwood Bay Shore,"1650 Fifth Ave Bay Shore, NY 11706",Branch
Bayport,"925 Montauk Hwy Bayport, NY 11705",Branch
Sayville,"131 Main St Sayville, NY 11782",Branch
SAYVILLE PLAZA,"5191-6 Sunrise Hwy Bohemia, NY 11716",ATM
Patchogue Gateway Plaza,"499-84 Sunrise Hwy Patchogue, NY 11772",Branch
Patchogue Village,"115 E Main St Patchogue, NY 11772",Branch
Canandaigua,"130 S Main St Canandaigua, NY 14424",Branch
CANANDAIGUA - 103357,"1499 Canandaigua Rd Macedon, NY 14502",ATM
Perinton Plaza,"609 Moseley Rd Fairport, NY 14450",Branch
East Rochester Fairport Rd,"865 Fairport Rd East Rochester, NY 14445",Branch
Pittsford Village,"31 State St Pittsford, NY 14534",Branch
Carle Place,"267 Old Country Rd Carle Place, NY 11514",Branch
Old Country Rd and Cherry Ln,"400 Old Country Rd Carle Place, NY 11514",Branch
Mineola,"32 Jericho Tpke Mineola, NY 11501",Branch
East Garden City,"450 Stewart Ave Garden City, NY 11530",Branch
Mineola Court House,"216 Old Country Rd Mineola, NY 11501",Branch
Cedarhurst,"446 Central Ave Cedarhurst, NY 11516",Branch
Lawrence Rockaway,"335 Rockaway Tpke Lawrence, NY 11559",Branch
Broadway Hewlett,"1304 Broadway Hewlett, NY 11557",Branch
Far Rockaway,"1912 Mott Ave Far Rockaway, NY 11691",Branch
South Valley Stream,"930 Rosedale Rd Valley Stream, NY 11581",Branch
Center Moriches Main St,"366 Main St Center Moriches, NY 11934",Branch
CENTER MORICHES DRIVEUP,"405 Main St Center Moriches, NY 11934",ATM
Shirley South Port Center,"645 William Floyd Pkwy Shirley, NY 11967",Branch
Yaphank,"128 Main St Yaphank, NY 11980",Branch
Westhampton Beach,"154 Main St Westhampton Beach, NY 11978",Branch
Centereach,"2102 Middle Country Rd Centereach, NY 11720",Branch
Selden,"999 Middle Country Rd Selden, NY 11784",Branch
Lake Ronkonkoma,"601 Portion Rd Lake Ronkonkoma, NY 11779",Branch
Stonybrook,"2210 Nesconset Hwy Stony Brook, NY 11790",Branch
Ronkonkoma,"130 Portion Rd Ronkonkoma, NY 11779",Branch
Deer Park Ave,"1948 Deer Park Ave Deer Park, NY 11729",Branch
Deer Park Grand Blvd,"615 Grand Blvd Deer Park, NY 11729",Branch
North Babylon,"35 Woods Rd North Babylon, NY 11703",Branch
Wyandanch Compare Foods,"1551 Straight Path Wyandanch, NY 11798",Branch
University Hill,"649 S Crouse Ave Syracuse, NY 13210",Branch
James St,"801 James St Syracuse, NY 13203",Branch
Commack Vanderbilt Pkwy,"39 Vanderbilt Pkwy Commack, NY 11725",Branch
Huntington Square,"17 Huntington Square Mall East Northport, NY 11731",Branch
Dix Hills,"699 Old Country Rd Dix Hills, NY 11746",Branch
Commack Vets Hwy,"60 Veterans Memorial Hwy Commack, NY 11725",Branch
Hauppauge,"200 Motor Pkwy Hauppauge, NY 11788",Branch
Irvington,"45-47 Main St Irvington, NY 10533",Branch
East Farmingdale,"1745 Broad Hollow Rd East Farmingdale, NY 11735",Branch
Farmingdale,"334 Main St Farmingdale, NY 11735",Branch
Lindenhurst,"655 N Wellwood Ave Lindenhurst, NY 11757",Branch
Hempstead Tpke and Randal,"4276 Hempstead Tpke Bethpage, NY 11714",Branch
East Hampton Main St,"66 Main St East Hampton, NY 11937",Branch
Sag Harbor,"89 Main St Sag Harbor, NY 11963",Branch
Shelter Island,"48 N Ferry Rd Shelter Island, NY 11964",Branch
Southampton,"60 Main St Southampton, NY 11968",Branch
Southampton Driveup,"66 Nugent St Southampton, NY 11968",Drive-up
East Meadow,"2469 Hempstead Tpke East Meadow, NY 11554",Branch
East Meadow Plaza,"1960 Hempstead Tpke East Meadow, NY 11554",Branch
Bellmore Ave and Peach,"501 Bellmore Ave East Meadow, NY 11554",Branch
Levittown Pkwy,"681 Newbridge Rd Levittown, NY 11756",Branch
North Bellmore,"1542 Bellmore Ave North Bellmore, NY 11710",Branch
East Northport Larkfield Rd,"271 Larkfield Rd East Northport, NY 11731",Branch
Fort Salonga,"2 Fort Salonga Rd Fort Salonga, NY 11768",Branch
Northport Village Driveup,"163 Main St Northport, NY 11768",Drive-up
Northport Main St,"54 Main St Northport, NY 11768",Branch
Penfield,"2159 Fairport Nine Mile Pt Rd Fairport, NY 14450",Branch
1775 MONROE AVE,"1775 Monroe Ave Rochester, NY 14618",ATM
Bethpage,"365 Broadway Bethpage, NY 11714",Branch
Levittown,"3737 Hempstead Tpke Levittown, NY 11756",Branch
Farmingville,"2430 N Ocean Ave Farmingville, NY 11738",Branch
Medford,"2271 Rte 112 Medford, NY 11763",Branch
Selden Middle Country Rd,"295 Middle Country Rd, #115 Selden, NY 11784",Branch
Holbrook,"991 Main St Holbrook, NY 11741",Branch
Fishkill and Merritt Blvd,"15 Merritt Blvd Fishkill, NY 12524",Branch
Wappinger,"1460 Rte 9 Wappingers Falls, NY 12590",Branch
Beacon,"404 Main St Beacon, NY 12508",Branch
Hopewell Junction,"817 State Rte 82 Hopewell Junction, NY 12533",Branch
Newburgh,"5020 Rte 9 W Newburgh, NY 12550",Branch
Seventh St,"82 Seventh St Garden City, NY 11530",Branch
Hempstead Fulton,"136 Fulton Ave Hempstead, NY 11550",Branch
Hempstead,"49 N Franklin St Hempstead, NY 11550",Branch
Jericho Turnpike,"2360 Jericho Tpke Garden City Park, NY 11040",Branch
Williston Park and Hillside Ave,"138 Hillside Ave Williston Park, NY 11596",Branch
Haverstraw 9w,"250 Rte 9 W Haverstraw, NY 10927",Branch
Garnerville,"58 W Ramapo Rd Garnerville, NY 10923",Branch
Stony Point,"22 S Liberty Dr Stony Point, NY 10980",Branch
Pomona,"1581 Rte 202, Ste 2 Pomona, NY 10970",Branch
New City New Hempstead,"2 New Hempstead Rd New City, NY 10956",Branch
Glen Cove,"195C Forest Ave Glen Cove, NY 11542",Branch
Locust Valley,"85 Forest Ave Locust Valley, NY 11560",Branch
Glen Head,"240 Glen Head Rd Glen Head, NY 11545",Branch
LOCUST VALLEY REMOTE ATM,"157 Birch Hill Rd Locust Valley, NY 11560",ATM
Greenvale Northern,"57 Northern Blvd Greenvale, NY 11548",Branch
Hampton Bays,"47 W Montauk Hwy Hampton Bays, NY 11946",Branch
Mattituck,"10300 Main Rd Mattituck, NY 11952",Branch
Halstead and Harrison,"275 Halstead Ave Harrison, NY 10528",Branch
Halstead and Osborn,"402 Halstead Ave Harrison, NY 10528",Branch
East Boston Post Rd,"535 E Boston Post Rd Mamaroneck, NY 10543",Branch
Rye,"73 Purchase St Rye, NY 10580",Branch
Mamaroneck Ave,"242 Mamaroneck Ave Mamaroneck, NY 10543",Branch
Hartsdale Ave,"232 E Hartsdale Ave Hartsdale, NY 10530",Branch
North Hartsdale,"353 N Central Ave Hartsdale, NY 10530",Branch
Maple Ave,"285 Maple Ave White Plains, NY 10606",Branch
Scarsdale,"8 E Parkway Scarsdale, NY 10583",Branch
North Broadway,"984 N Broadway Yonkers, NY 10701",Branch
Nepperhan Ave,"1222 Nepperhan Ave Yonkers, NY 10703",Branch
Hauppauge East,"546 Rte 111 Hauppauge, NY 11788",Branch
Islandia,"1455 Veterans Hwy Islandia, NY 11749",Branch
Smithtown,"42 W Main St Smithtown, NY 11787",Branch
Nesconset,"705 Smithtown Byp Smithtown, NY 11787",Branch
Irondequoit West,"674 Titus Ave Irondequoit, NY 14617",Branch
Irondequoit East,"1982 E Ridge Rd Irondequoit, NY 14622",Branch
Charlotte,"3917 Lake Ave Rochester, NY 14612",Branch
Browncroft,"245 Merchants Rd Rochester, NY 14609",Branch
Tower Rochester,"1 S Clinton Ave Rochester, NY 14604",Branch
MONTEFIORE TARRYTOWN,"555 S Broadway Tarrytown, NY 10591",ATM
Thruway,"360 S Broadway Tarrytown, NY 10591",Branch
Island Park,"212 Long Beach Rd Island Park, NY 11558",Branch
Long Beach,"220 E Park Ave Long Beach, NY 11561",Branch
Oceanside,"3285 Long Beach Rd Oceanside, NY 11572",Branch
East Rockaway,"111 Main St East Rockaway, NY 11518",Branch
Bohemia,"4170 Veterans Memorial Hwy Bohemia, NY 11716",Branch
Hicksville,"284 N Broadway Hicksville, NY 11801",Branch
Hicksville North Broadway,"249 N Broadway Hicksville, NY 11801",Branch
Syosset,"220 W Jericho Tpke Syosset, NY 11791",Branch
Old Westbury,"35 Jericho Tpke Jericho, NY 11753",Branch
Woodbury Rd and W Gate,"404 Woodbury Rd Plainview, NY 11803",Branch
Katonah,"140 Katonah Ave Katonah, NY 10536",Branch
Bedford Hills,"711 Bedford Rd Bedford Hills, NY 10507",Branch
Cross River,"20 N Salem Rd Cross River, NY 10518",Branch
Moger Ave,"55 Main St Mount Kisco, NY 10549",Branch
Kirby Plaza,"16 E Main St Mount Kisco, NY 10549",Branch
Kings Park,"38 Indian Head Rd Kings Park, NY 11754",Branch
Kingston Plaza,"256 Plaza Rd Kingston, NY 12401",Branch
Hyde Park Albany Post,"4277 Albany Post Rd Hyde Park, NY 12538",Branch
New Paltz,"2 Plattekill Ave New Paltz, NY 12561",Branch
Pleasant Valley,"1600 Main St, Ste 14 Pleasant Valley, NY 12569",Branch
Main Mall,"285 Main St Poughkeepsie, NY 12601",Branch
Smith Haven,"2001 Nesconset Hwy Lake Grove, NY 11755",Branch
Larchmont,"125 Chatsworth Ave Larchmont, NY 10538",Branch
Boston Post Road and Weaver,"1350 Boston Post Rd Larchmont, NY 10538",Branch
LARCHMONT CPC,"124 Chatsworth Ave Larchmont, NY 10538",ATM
New Rochelle ShopRite,"8 Joyce Rd New Rochelle, NY 10801",Branch
Malverne,"368 Hempstead Ave Malverne, NY 11565",Branch
Franklin Gate,"654 Franklin Ave Franklin Square, NY 11010",Branch
Rockville Centre,"10 N Village Ave Rockville Centre, NY 11570",Branch
Rockaway Ave,"235 Rockaway Ave Valley Stream, NY 11580",Branch
Valley Stream,"163 W Merrick Rd Valley Stream, NY 11580",Branch
Manhasset,"330 Plandome Rd Manhasset, NY 11030",Branch
Munsey Park,"2111 Northern Blvd Manhasset, NY 11030",Branch
Great Neck Plaza,"22 Grace Ave Great Neck, NY 11021",Branch
Great Neck,"60 Great Neck Rd Great Neck, NY 11021",Branch
Great Neck Northern Blvd,"410 Northern Blvd Great Neck, NY 11021",Branch
Route 59,"123 E Rte 59 Nanuet, NY 10954",Branch
Nanuet Middletown,"250 S Middletown Rd Nanuet, NY 10954",Branch
Nanuet,"61 Smith St Nanuet, NY 10954",Branch
NANUET DRIVEUP,"39 Smith St Nanuet, NY 10954",ATM
Chestnut Ridge,"501 Chestnut Ridge Rd Chestnut Ridge, NY 10977",Branch
New City,"102 S Main St New City, NY 10956",Branch
New City South Main,"316 S Main St New City, NY 10956",Branch
Hillcrest North Main,"269 N Main St Spring Valley, NY 10977",Branch
New Hyde Park,"350 Hillside Ave New Hyde Park, NY 11040",Branch
Stewart Manor,"110 Covert Ave Stewart Manor, NY 11530",Branch
Floral Park Verbena,"15 Verbena Ave Floral Park, NY 11001",Branch
Lake Success,"2335 New Hyde Park Rd New Hyde Park, NY 11042",Branch
Poughkeepsie Plaza Mall,"2586 South Rd Poughkeepsie, NY 12601",Branch
SOUND SHORE MEDICAL CENTER,"16 Guion Pl New Rochelle, NY 10801",ATM
New Rochelle,"270 North Ave New Rochelle, NY 10801",Branch
New Rochelle Pelham,"105 Pelham Rd New Rochelle, NY 10805",Branch
Pelham,"35 Fifth Ave Pelham, NY 10803",Branch
Oakdale,"861 Montauk Hwy Oakdale, NY 11769",Branch
Orangeburg,"333 Rte 303 Orangeburg, NY 10962",Branch
Sparkill,"637 Main St Sparkill, NY 10976",Branch
Northvale,"271A Livingston St Northvale, NJ 07647",Branch
Nyack Rt 59,"49 Rte 59 Nyack, NY 10960",Branch
Nyack North Broadway,"20 N Broadway Nyack, NY 10960",Branch
North Patchogue,"472 Medford Ave North Patchogue, NY 11772",Branch
Patterson Acme,"3112 Rte 22 Patterson, NY 12563",Branch
Brewster Acme,"1511 SR 22 Brewster, NY 10509",Branch
Brewster Clocktower Commons,"700 Clocktower Commons Brewster, NY 10509",Branch
Danbury Shoprite,"1-A Padanaram Rd Danbury, CT 06811",Branch
Danbury Lake Ave,"42 Lake Ave Ext Danbury, CT 06811",Branch
Pearl River Central Driveup,"1 E Central Ave Pearl River, NY 10965",Branch
Pearl River Central,"1 E Central Ave Pearl River, NY 10965",Branch
Park Ridge Ridgemont,"169 Kinderkamack Rd Park Ridge, NJ 07656",Branch
Montvale,"22A Chestnut Ridge Rd Montvale, NJ 07645",Branch
Peekskill Brown,"1025 Brown St Peekskill, NY 10566",Branch
Peekskill,"1825 E Main St Peekskill, NY 10566",Branch
Mohegan Lake Acme,"3105 E Main St Mohegan Lake, NY 10547",Branch
Croton,"2003 Albany Post Rd Croton On Hudson, NY 10520",Branch
Cortlandt Manor,"3394 Crompond Rd Yorktown Heights, NY 10598",Branch
Pelham Manor,"854 Pelham Pkwy Pelham Manor, NY 10803",Branch
Mount Vernon,"22 W First St Mount Vernon, NY 10550",Branch
Riverhead Main St,"7 W Main St Riverhead, NY 11901",Branch
Riverhead Plaza,"655 Old Country Rd Riverhead, NY 11901",Branch
Riverhead Shopping Center,"1450 Old Country Rd Riverhead, NY 11901",Branch
West End,"36 Genesee St Rochester, NY 14611",Branch
ST MARY'S HOSPITAL,"89 Genesse St-1st Fl Rochester, NY 14611",ATM
Monroe Ave,"560 Monroe Ave Rochester, NY 14607",Branch
UNIVERSITY OF ROCHESTER,"755 Library Rd Rochester, NY 14627",E
Greenport,"238 Main St Greenport, NY 11944",Branch
Heathcote,"20 Palmer Ave Scarsdale, NY 10583",Branch
Vernon Hills Scarsdale,"676 White Plains Rd Scarsdale, NY 10583",Branch
Scottsville,"1 Rochester St Scottsville, NY 14546",Branch
Westgate Rochester,"2130 Chili Ave Rochester, NY 14624",Branch
Henrietta,"1575 E Henrietta Rd Rochester, NY 14623",Branch
Rochester Medical Center,"260 Crittenden Blvd Rochester, NY 14642",Branch
STRONG MEMORIAL HOSPITAL,"601 Elmwood Ave Rochester, NY 14642",ATM
Seaford,"3875 Merrick Rd Seaford, NY 11783",Branch
Massapequa,"4210 Sunrise Hwy Massapequa, NY 11758",Branch
North Massapequa,"1090 Hicksville Rd North Massapequa, NY 11758",Branch
Wantagh,"1201 Wantagh Ave Wantagh, NY 11793",Branch
College Rd West Monsey,"410 Rte 59 Monsey, NY 10952",Branch
Tallman,"1 S Airmont Rd Tallman, NY 10982",Branch
Monsey,"405 W Rte 59 Monsey, NY 10952",Branch
Suffern,"67 Lafayette Ave Suffern, NY 10901",Branch
Tarrytown,"64 N Broadway Tarrytown, NY 10591",Branch
Tarrytown Station,"139 Wildey St Tarrytown, NY 10591",Branch
Elmsford Main St,"20 E Main St Elmsford, NY 10523",Branch
Pleasantville,"17 Washington Ave Pleasantville, NY 10570",Branch
Tuckahoe Main St,"62 Main St Tuckahoe, NY 10707",Branch
Eastchester,"360 White Plains Rd Eastchester, NY 10709",Branch
LAWRENCE HOSPITAL,"55 Palmer Ave Bronxville, NY 10708",ATM
Bronxville Station,"132 Parkway Rd Bronxville, NY 10708",Branch
Central Park Ave,"2195 Central Park Ave Yonkers, NY 10710",Branch
Tuxedo,"241 Orange Tpke, RT 17 Tuxedo Park, NY 10987",Branch
Greenwood Lake,"138 Windermere Ave Greenwood Lake, NY 10925",Branch
Valley Cottage,"124 Rte 303 Valley Cottage, NY 10989",Branch
West Nyack Village Square,"719 W Nyack Rd West Nyack, NY 10994",Branch
Green Acres Mall,"1200 W Walk Valley Stream, NY 11581",Branch
Central Ave,"270 N Central Ave Valley Stream, NY 11580",Branch
Bellmore,"2631 Merrick Rd Bellmore, NY 11710",Branch
Apple Valley Center,"704 Freedom Plains Rd Poughkeepsie, NY 12603",Branch
Warwick,"30 Main St Warwick, NY 10990",Branch
Warwick Fairgrounds,"146 US Hwy 94 S Warwick, NY 10990",Branch
Vernon Rt 517,"550 Rte 515 Vernon, NJ 07462",Branch
Washingtonville,"7 W Main St Washingtonville, NY 10992",Branch
New Windsor,"353 Windsor Hwy New Windsor, NY 12553",Branch
Monroe Rt 17M,"845 Rte 17m, Ste 10 Monroe, NY 10950",Branch
Cornwall,"36 Broadway Cornwall, NY 12518",Branch
Route 17k,"201 Auto Park Pl Newburgh, NY 12550",Branch
Webster,"920 Holt Rd Webster, NY 14580",Branch
Eastway,"1950 Empire Blvd Webster, NY 14580",Branch
Yonkers Getty Square,"47 S Broadway Yonkers, NY 10701",Branch
Yonkers Station,"92 Main St Yonkers, NY 10701",Branch
South Broadway Yonkers,"410 S Broadway Yonkers, NY 10705",Branch
Saw Mill River Rd,"270 Saw Mill River Rd Yonkers, NY 10701",Branch
Riverdale North,"5656 Riverdale Ave Bronx, NY 10471",Branch
