"Location","Education","Years of Experience","Percentile","Salary"
"New York City","Less than Bachelors",0,"25th",74000
"New York City","Less than Bachelors",1,"25th",76000
"New York City","Less than Bachelors",2,"25th",78000
"New York City","Less than Bachelors",3,"25th",80000
"New York City","Less than Bachelors",4,"25th",82000
"New York City","Less than Bachelors",5,"25th",84000
"New York City","Less than Bachelors",6,"25th",86000
"New York City","Less than Bachelors",7,"25th",88000
"New York City","Less than Bachelors",8,"25th",91000
"New York City","Less than Bachelors",9,"25th",93000
"New York City","Less than Bachelors",10,"25th",95000
"New York City","Bachelors Degree",0,"25th",81000
"New York City","Bachelors Degree",1,"25th",83000
"New York City","Bachelors Degree",2,"25th",85000
"New York City","Bachelors Degree",3,"25th",87000
"New York City","Bachelors Degree",4,"25th",89000
"New York City","Bachelors Degree",5,"25th",92000
"New York City","Bachelors Degree",6,"25th",94000
"New York City","Bachelors Degree",7,"25th",96000
"New York City","Bachelors Degree",8,"25th",99000
"New York City","Bachelors Degree",9,"25th",101000
"New York City","Bachelors Degree",10,"25th",104000
"New York City","Graduate Degree",0,"25th",86000
"New York City","Graduate Degree",1,"25th",88000
"New York City","Graduate Degree",2,"25th",90000
"New York City","Graduate Degree",3,"25th",93000
"New York City","Graduate Degree",4,"25th",95000
"New York City","Graduate Degree",5,"25th",97000
"New York City","Graduate Degree",6,"25th",1e+05
"New York City","Graduate Degree",7,"25th",102000
"New York City","Graduate Degree",8,"25th",105000
"New York City","Graduate Degree",9,"25th",108000
"New York City","Graduate Degree",10,"25th",110000
"New York City","Post-Graduate Degree",0,"25th",86000
"New York City","Post-Graduate Degree",1,"25th",88000
"New York City","Post-Graduate Degree",2,"25th",90000
"New York City","Post-Graduate Degree",3,"25th",93000
"New York City","Post-Graduate Degree",4,"25th",95000
"New York City","Post-Graduate Degree",5,"25th",97000
"New York City","Post-Graduate Degree",6,"25th",1e+05
"New York City","Post-Graduate Degree",7,"25th",102000
"New York City","Post-Graduate Degree",8,"25th",105000
"New York City","Post-Graduate Degree",9,"25th",108000
"New York City","Post-Graduate Degree",10,"25th",110000
"Salt Lake City","Less than Bachelors",0,"25th",58000
"Salt Lake City","Less than Bachelors",1,"25th",59000
"Salt Lake City","Less than Bachelors",2,"25th",61000
"Salt Lake City","Less than Bachelors",3,"25th",62000
"Salt Lake City","Less than Bachelors",4,"25th",64000
"Salt Lake City","Less than Bachelors",5,"25th",65000
"Salt Lake City","Less than Bachelors",6,"25th",67000
"Salt Lake City","Less than Bachelors",7,"25th",69000
"Salt Lake City","Less than Bachelors",8,"25th",70000
"Salt Lake City","Less than Bachelors",9,"25th",72000
"Salt Lake City","Less than Bachelors",10,"25th",74000
"Salt Lake City","Bachelors Degree",0,"25th",63000
"Salt Lake City","Bachelors Degree",1,"25th",64000
"Salt Lake City","Bachelors Degree",2,"25th",66000
"Salt Lake City","Bachelors Degree",3,"25th",67000
"Salt Lake City","Bachelors Degree",4,"25th",69000
"Salt Lake City","Bachelors Degree",5,"25th",71000
"Salt Lake City","Bachelors Degree",6,"25th",73000
"Salt Lake City","Bachelors Degree",7,"25th",75000
"Salt Lake City","Bachelors Degree",8,"25th",76000
"Salt Lake City","Bachelors Degree",9,"25th",78000
"Salt Lake City","Bachelors Degree",10,"25th",80000
"Salt Lake City","Graduate Degree",0,"25th",67000
"Salt Lake City","Graduate Degree",1,"25th",68000
"Salt Lake City","Graduate Degree",2,"25th",70000
"Salt Lake City","Graduate Degree",3,"25th",72000
"Salt Lake City","Graduate Degree",4,"25th",74000
"Salt Lake City","Graduate Degree",5,"25th",75000
"Salt Lake City","Graduate Degree",6,"25th",77000
"Salt Lake City","Graduate Degree",7,"25th",79000
"Salt Lake City","Graduate Degree",8,"25th",81000
"Salt Lake City","Graduate Degree",9,"25th",83000
"Salt Lake City","Graduate Degree",10,"25th",86000
"Salt Lake City","Post-Graduate Degree",0,"25th",67000
"Salt Lake City","Post-Graduate Degree",1,"25th",68000
"Salt Lake City","Post-Graduate Degree",2,"25th",70000
"Salt Lake City","Post-Graduate Degree",3,"25th",72000
"Salt Lake City","Post-Graduate Degree",4,"25th",74000
"Salt Lake City","Post-Graduate Degree",5,"25th",75000
"Salt Lake City","Post-Graduate Degree",6,"25th",77000
"Salt Lake City","Post-Graduate Degree",7,"25th",79000
"Salt Lake City","Post-Graduate Degree",8,"25th",81000
"Salt Lake City","Post-Graduate Degree",9,"25th",83000
"Salt Lake City","Post-Graduate Degree",10,"25th",86000
"Houston","Less than Bachelors",0,"25th",58000
"Houston","Less than Bachelors",1,"25th",59000
"Houston","Less than Bachelors",2,"25th",61000
"Houston","Less than Bachelors",3,"25th",62000
"Houston","Less than Bachelors",4,"25th",64000
"Houston","Less than Bachelors",5,"25th",65000
"Houston","Less than Bachelors",6,"25th",67000
"Houston","Less than Bachelors",7,"25th",69000
"Houston","Less than Bachelors",8,"25th",70000
"Houston","Less than Bachelors",9,"25th",72000
"Houston","Less than Bachelors",10,"25th",74000
"Houston","Bachelors Degree",0,"25th",63000
"Houston","Bachelors Degree",1,"25th",64000
"Houston","Bachelors Degree",2,"25th",66000
"Houston","Bachelors Degree",3,"25th",67000
"Houston","Bachelors Degree",4,"25th",69000
"Houston","Bachelors Degree",5,"25th",71000
"Houston","Bachelors Degree",6,"25th",73000
"Houston","Bachelors Degree",7,"25th",75000
"Houston","Bachelors Degree",8,"25th",76000
"Houston","Bachelors Degree",9,"25th",78000
"Houston","Bachelors Degree",10,"25th",80000
"Houston","Graduate Degree",0,"25th",67000
"Houston","Graduate Degree",1,"25th",68000
"Houston","Graduate Degree",2,"25th",70000
"Houston","Graduate Degree",3,"25th",72000
"Houston","Graduate Degree",4,"25th",74000
"Houston","Graduate Degree",5,"25th",75000
"Houston","Graduate Degree",6,"25th",77000
"Houston","Graduate Degree",7,"25th",79000
"Houston","Graduate Degree",8,"25th",81000
"Houston","Graduate Degree",9,"25th",83000
"Houston","Graduate Degree",10,"25th",86000
"Houston","Post-Graduate Degree",0,"25th",67000
"Houston","Post-Graduate Degree",1,"25th",68000
"Houston","Post-Graduate Degree",2,"25th",70000
"Houston","Post-Graduate Degree",3,"25th",72000
"Houston","Post-Graduate Degree",4,"25th",74000
"Houston","Post-Graduate Degree",5,"25th",75000
"Houston","Post-Graduate Degree",6,"25th",77000
"Houston","Post-Graduate Degree",7,"25th",79000
"Houston","Post-Graduate Degree",8,"25th",81000
"Houston","Post-Graduate Degree",9,"25th",83000
"Houston","Post-Graduate Degree",10,"25th",86000
"San Francisco","Less than Bachelors",0,"25th",83000
"San Francisco","Less than Bachelors",1,"25th",85000
"San Francisco","Less than Bachelors",2,"25th",87000
"San Francisco","Less than Bachelors",3,"25th",90000
"San Francisco","Less than Bachelors",4,"25th",92000
"San Francisco","Less than Bachelors",5,"25th",94000
"San Francisco","Less than Bachelors",6,"25th",97000
"San Francisco","Less than Bachelors",7,"25th",99000
"San Francisco","Less than Bachelors",8,"25th",101000
"San Francisco","Less than Bachelors",9,"25th",104000
"San Francisco","Less than Bachelors",10,"25th",107000
"San Francisco","Bachelors Degree",0,"25th",90000
"San Francisco","Bachelors Degree",1,"25th",93000
"San Francisco","Bachelors Degree",2,"25th",95000
"San Francisco","Bachelors Degree",3,"25th",97000
"San Francisco","Bachelors Degree",4,"25th",1e+05
"San Francisco","Bachelors Degree",5,"25th",102000
"San Francisco","Bachelors Degree",6,"25th",105000
"San Francisco","Bachelors Degree",7,"25th",108000
"San Francisco","Bachelors Degree",8,"25th",110000
"San Francisco","Bachelors Degree",9,"25th",113000
"San Francisco","Bachelors Degree",10,"25th",116000
"San Francisco","Graduate Degree",0,"25th",96000
"San Francisco","Graduate Degree",1,"25th",99000
"San Francisco","Graduate Degree",2,"25th",101000
"San Francisco","Graduate Degree",3,"25th",104000
"San Francisco","Graduate Degree",4,"25th",106000
"San Francisco","Graduate Degree",5,"25th",109000
"San Francisco","Graduate Degree",6,"25th",112000
"San Francisco","Graduate Degree",7,"25th",115000
"San Francisco","Graduate Degree",8,"25th",117000
"San Francisco","Graduate Degree",9,"25th",120000
"San Francisco","Graduate Degree",10,"25th",124000
"San Francisco","Post-Graduate Degree",0,"25th",96000
"San Francisco","Post-Graduate Degree",1,"25th",99000
"San Francisco","Post-Graduate Degree",2,"25th",101000
"San Francisco","Post-Graduate Degree",3,"25th",104000
"San Francisco","Post-Graduate Degree",4,"25th",106000
"San Francisco","Post-Graduate Degree",5,"25th",109000
"San Francisco","Post-Graduate Degree",6,"25th",112000
"San Francisco","Post-Graduate Degree",7,"25th",115000
"San Francisco","Post-Graduate Degree",8,"25th",117000
"San Francisco","Post-Graduate Degree",9,"25th",120000
"San Francisco","Post-Graduate Degree",10,"25th",124000
"San Jose","Less than Bachelors",0,"25th",83000
"San Jose","Less than Bachelors",1,"25th",85000
"San Jose","Less than Bachelors",2,"25th",87000
"San Jose","Less than Bachelors",3,"25th",90000
"San Jose","Less than Bachelors",4,"25th",92000
"San Jose","Less than Bachelors",5,"25th",94000
"San Jose","Less than Bachelors",6,"25th",97000
"San Jose","Less than Bachelors",7,"25th",99000
"San Jose","Less than Bachelors",8,"25th",101000
"San Jose","Less than Bachelors",9,"25th",104000
"San Jose","Less than Bachelors",10,"25th",107000
"San Jose","Bachelors Degree",0,"25th",90000
"San Jose","Bachelors Degree",1,"25th",93000
"San Jose","Bachelors Degree",2,"25th",95000
"San Jose","Bachelors Degree",3,"25th",97000
"San Jose","Bachelors Degree",4,"25th",1e+05
"San Jose","Bachelors Degree",5,"25th",102000
"San Jose","Bachelors Degree",6,"25th",105000
"San Jose","Bachelors Degree",7,"25th",108000
"San Jose","Bachelors Degree",8,"25th",110000
"San Jose","Bachelors Degree",9,"25th",113000
"San Jose","Bachelors Degree",10,"25th",116000
"San Jose","Graduate Degree",0,"25th",96000
"San Jose","Graduate Degree",1,"25th",99000
"San Jose","Graduate Degree",2,"25th",101000
"San Jose","Graduate Degree",3,"25th",104000
"San Jose","Graduate Degree",4,"25th",106000
"San Jose","Graduate Degree",5,"25th",109000
"San Jose","Graduate Degree",6,"25th",112000
"San Jose","Graduate Degree",7,"25th",115000
"San Jose","Graduate Degree",8,"25th",117000
"San Jose","Graduate Degree",9,"25th",120000
"San Jose","Graduate Degree",10,"25th",124000
"San Jose","Post-Graduate Degree",0,"25th",96000
"San Jose","Post-Graduate Degree",1,"25th",99000
"San Jose","Post-Graduate Degree",2,"25th",101000
"San Jose","Post-Graduate Degree",3,"25th",104000
"San Jose","Post-Graduate Degree",4,"25th",106000
"San Jose","Post-Graduate Degree",5,"25th",109000
"San Jose","Post-Graduate Degree",6,"25th",112000
"San Jose","Post-Graduate Degree",7,"25th",115000
"San Jose","Post-Graduate Degree",8,"25th",117000
"San Jose","Post-Graduate Degree",9,"25th",120000
"San Jose","Post-Graduate Degree",10,"25th",124000
"Los Angeles","Less than Bachelors",0,"25th",58000
"Los Angeles","Less than Bachelors",1,"25th",59000
"Los Angeles","Less than Bachelors",2,"25th",61000
"Los Angeles","Less than Bachelors",3,"25th",62000
"Los Angeles","Less than Bachelors",4,"25th",64000
"Los Angeles","Less than Bachelors",5,"25th",65000
"Los Angeles","Less than Bachelors",6,"25th",67000
"Los Angeles","Less than Bachelors",7,"25th",69000
"Los Angeles","Less than Bachelors",8,"25th",70000
"Los Angeles","Less than Bachelors",9,"25th",72000
"Los Angeles","Less than Bachelors",10,"25th",74000
"Los Angeles","Bachelors Degree",0,"25th",63000
"Los Angeles","Bachelors Degree",1,"25th",64000
"Los Angeles","Bachelors Degree",2,"25th",66000
"Los Angeles","Bachelors Degree",3,"25th",67000
"Los Angeles","Bachelors Degree",4,"25th",69000
"Los Angeles","Bachelors Degree",5,"25th",71000
"Los Angeles","Bachelors Degree",6,"25th",73000
"Los Angeles","Bachelors Degree",7,"25th",75000
"Los Angeles","Bachelors Degree",8,"25th",76000
"Los Angeles","Bachelors Degree",9,"25th",78000
"Los Angeles","Bachelors Degree",10,"25th",80000
"Los Angeles","Graduate Degree",0,"25th",67000
"Los Angeles","Graduate Degree",1,"25th",68000
"Los Angeles","Graduate Degree",2,"25th",70000
"Los Angeles","Graduate Degree",3,"25th",72000
"Los Angeles","Graduate Degree",4,"25th",74000
"Los Angeles","Graduate Degree",5,"25th",75000
"Los Angeles","Graduate Degree",6,"25th",77000
"Los Angeles","Graduate Degree",7,"25th",79000
"Los Angeles","Graduate Degree",8,"25th",81000
"Los Angeles","Graduate Degree",9,"25th",83000
"Los Angeles","Graduate Degree",10,"25th",86000
"Los Angeles","Post-Graduate Degree",0,"25th",67000
"Los Angeles","Post-Graduate Degree",1,"25th",68000
"Los Angeles","Post-Graduate Degree",2,"25th",70000
"Los Angeles","Post-Graduate Degree",3,"25th",72000
"Los Angeles","Post-Graduate Degree",4,"25th",74000
"Los Angeles","Post-Graduate Degree",5,"25th",75000
"Los Angeles","Post-Graduate Degree",6,"25th",77000
"Los Angeles","Post-Graduate Degree",7,"25th",79000
"Los Angeles","Post-Graduate Degree",8,"25th",81000
"Los Angeles","Post-Graduate Degree",9,"25th",83000
"Los Angeles","Post-Graduate Degree",10,"25th",86000
"Chicago","Less than Bachelors",0,"25th",58000
"Chicago","Less than Bachelors",1,"25th",59000
"Chicago","Less than Bachelors",2,"25th",61000
"Chicago","Less than Bachelors",3,"25th",62000
"Chicago","Less than Bachelors",4,"25th",64000
"Chicago","Less than Bachelors",5,"25th",65000
"Chicago","Less than Bachelors",6,"25th",67000
"Chicago","Less than Bachelors",7,"25th",69000
"Chicago","Less than Bachelors",8,"25th",70000
"Chicago","Less than Bachelors",9,"25th",72000
"Chicago","Less than Bachelors",10,"25th",74000
"Chicago","Bachelors Degree",0,"25th",63000
"Chicago","Bachelors Degree",1,"25th",64000
"Chicago","Bachelors Degree",2,"25th",66000
"Chicago","Bachelors Degree",3,"25th",67000
"Chicago","Bachelors Degree",4,"25th",69000
"Chicago","Bachelors Degree",5,"25th",71000
"Chicago","Bachelors Degree",6,"25th",73000
"Chicago","Bachelors Degree",7,"25th",75000
"Chicago","Bachelors Degree",8,"25th",76000
"Chicago","Bachelors Degree",9,"25th",78000
"Chicago","Bachelors Degree",10,"25th",80000
"Chicago","Graduate Degree",0,"25th",67000
"Chicago","Graduate Degree",1,"25th",68000
"Chicago","Graduate Degree",2,"25th",70000
"Chicago","Graduate Degree",3,"25th",72000
"Chicago","Graduate Degree",4,"25th",74000
"Chicago","Graduate Degree",5,"25th",75000
"Chicago","Graduate Degree",6,"25th",77000
"Chicago","Graduate Degree",7,"25th",79000
"Chicago","Graduate Degree",8,"25th",81000
"Chicago","Graduate Degree",9,"25th",83000
"Chicago","Graduate Degree",10,"25th",86000
"Chicago","Post-Graduate Degree",0,"25th",67000
"Chicago","Post-Graduate Degree",1,"25th",68000
"Chicago","Post-Graduate Degree",2,"25th",70000
"Chicago","Post-Graduate Degree",3,"25th",72000
"Chicago","Post-Graduate Degree",4,"25th",74000
"Chicago","Post-Graduate Degree",5,"25th",75000
"Chicago","Post-Graduate Degree",6,"25th",77000
"Chicago","Post-Graduate Degree",7,"25th",79000
"Chicago","Post-Graduate Degree",8,"25th",81000
"Chicago","Post-Graduate Degree",9,"25th",83000
"Chicago","Post-Graduate Degree",10,"25th",86000
"Phoenix","Less than Bachelors",0,"25th",58000
"Phoenix","Less than Bachelors",1,"25th",59000
"Phoenix","Less than Bachelors",2,"25th",61000
"Phoenix","Less than Bachelors",3,"25th",62000
"Phoenix","Less than Bachelors",4,"25th",64000
"Phoenix","Less than Bachelors",5,"25th",65000
"Phoenix","Less than Bachelors",6,"25th",67000
"Phoenix","Less than Bachelors",7,"25th",69000
"Phoenix","Less than Bachelors",8,"25th",70000
"Phoenix","Less than Bachelors",9,"25th",72000
"Phoenix","Less than Bachelors",10,"25th",74000
"Phoenix","Bachelors Degree",0,"25th",63000
"Phoenix","Bachelors Degree",1,"25th",64000
"Phoenix","Bachelors Degree",2,"25th",66000
"Phoenix","Bachelors Degree",3,"25th",67000
"Phoenix","Bachelors Degree",4,"25th",69000
"Phoenix","Bachelors Degree",5,"25th",71000
"Phoenix","Bachelors Degree",6,"25th",73000
"Phoenix","Bachelors Degree",7,"25th",75000
"Phoenix","Bachelors Degree",8,"25th",76000
"Phoenix","Bachelors Degree",9,"25th",78000
"Phoenix","Bachelors Degree",10,"25th",80000
"Phoenix","Graduate Degree",0,"25th",67000
"Phoenix","Graduate Degree",1,"25th",68000
"Phoenix","Graduate Degree",2,"25th",70000
"Phoenix","Graduate Degree",3,"25th",72000
"Phoenix","Graduate Degree",4,"25th",74000
"Phoenix","Graduate Degree",5,"25th",75000
"Phoenix","Graduate Degree",6,"25th",77000
"Phoenix","Graduate Degree",7,"25th",79000
"Phoenix","Graduate Degree",8,"25th",81000
"Phoenix","Graduate Degree",9,"25th",83000
"Phoenix","Graduate Degree",10,"25th",86000
"Phoenix","Post-Graduate Degree",0,"25th",67000
"Phoenix","Post-Graduate Degree",1,"25th",68000
"Phoenix","Post-Graduate Degree",2,"25th",70000
"Phoenix","Post-Graduate Degree",3,"25th",72000
"Phoenix","Post-Graduate Degree",4,"25th",74000
"Phoenix","Post-Graduate Degree",5,"25th",75000
"Phoenix","Post-Graduate Degree",6,"25th",77000
"Phoenix","Post-Graduate Degree",7,"25th",79000
"Phoenix","Post-Graduate Degree",8,"25th",81000
"Phoenix","Post-Graduate Degree",9,"25th",83000
"Phoenix","Post-Graduate Degree",10,"25th",86000
"Boston","Less than Bachelors",0,"25th",58000
"Boston","Less than Bachelors",1,"25th",59000
"Boston","Less than Bachelors",2,"25th",61000
"Boston","Less than Bachelors",3,"25th",62000
"Boston","Less than Bachelors",4,"25th",64000
"Boston","Less than Bachelors",5,"25th",65000
"Boston","Less than Bachelors",6,"25th",67000
"Boston","Less than Bachelors",7,"25th",69000
"Boston","Less than Bachelors",8,"25th",70000
"Boston","Less than Bachelors",9,"25th",72000
"Boston","Less than Bachelors",10,"25th",74000
"Boston","Bachelors Degree",0,"25th",63000
"Boston","Bachelors Degree",1,"25th",64000
"Boston","Bachelors Degree",2,"25th",66000
"Boston","Bachelors Degree",3,"25th",67000
"Boston","Bachelors Degree",4,"25th",69000
"Boston","Bachelors Degree",5,"25th",71000
"Boston","Bachelors Degree",6,"25th",73000
"Boston","Bachelors Degree",7,"25th",75000
"Boston","Bachelors Degree",8,"25th",76000
"Boston","Bachelors Degree",9,"25th",78000
"Boston","Bachelors Degree",10,"25th",80000
"Boston","Graduate Degree",0,"25th",67000
"Boston","Graduate Degree",1,"25th",68000
"Boston","Graduate Degree",2,"25th",70000
"Boston","Graduate Degree",3,"25th",72000
"Boston","Graduate Degree",4,"25th",74000
"Boston","Graduate Degree",5,"25th",75000
"Boston","Graduate Degree",6,"25th",77000
"Boston","Graduate Degree",7,"25th",79000
"Boston","Graduate Degree",8,"25th",81000
"Boston","Graduate Degree",9,"25th",83000
"Boston","Graduate Degree",10,"25th",86000
"Boston","Post-Graduate Degree",0,"25th",67000
"Boston","Post-Graduate Degree",1,"25th",68000
"Boston","Post-Graduate Degree",2,"25th",70000
"Boston","Post-Graduate Degree",3,"25th",72000
"Boston","Post-Graduate Degree",4,"25th",74000
"Boston","Post-Graduate Degree",5,"25th",75000
"Boston","Post-Graduate Degree",6,"25th",77000
"Boston","Post-Graduate Degree",7,"25th",79000
"Boston","Post-Graduate Degree",8,"25th",81000
"Boston","Post-Graduate Degree",9,"25th",83000
"Boston","Post-Graduate Degree",10,"25th",86000
"New York City","Less than Bachelors",0,"50th",94000
