ZIP Code,Classification,City,Population,Timezone,Area Code(s)
84003,General,American Fork,"42,384",Mountain,801/385
84004,General,Alpine,"9,818",Mountain,801/385
84005,General,Eagle Mountain,"21,410",Mountain,385/801
84013,General,Cedar Valley,"1,011",Mountain,385/801
84042,General,Lindon,"10,094",Mountain,385/801
84043,General,Lehi,"49,030",Mountain,801/385
84045,General,Saratoga Springs,"16,875",Mountain,385/801
84057,General,Orem,"36,666",Mountain,385/801
84058,General,Orem,"30,540",Mountain,385/801
84059,General,Vineyard,0,Mountain,385/801
84062,General,Pleasant Grove,"43,269",Mountain,801/385
84097,General,Orem,"21,322",Mountain,385/801
84601,General,Provo,"31,486",Mountain,801/385
84602,General,Provo,0,Mountain,801/385
84603,P.O. Box,Provo,0,Mountain,801/385
84604,General,Provo,"49,145",Mountain,801
84605,P.O. Box,Provo,0,Mountain,801/385
84606,General,Provo,"32,291",Mountain,801/385
84626,P.O. Box,Elberta,410,Mountain,385/801
84633,P.O. Box,Goshen,"1,048",Mountain,801/385
84651,General,Payson,"23,457",Mountain,801/385
84653,General,Salem,"7,947",Mountain,801
84655,General,Santaquin,"10,547",Mountain,801
84660,General,Spanish Fork,"37,995",Mountain,801/385
84663,General,Springville,"29,975",Mountain,801/385
84664,General,Mapleton,"8,033",Mountain,385/801